teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
4,Nick Bowers,260.0,76.0,26,Kittanning,PA,USA,Tight End,nick-bowers,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3929633.png
4,Tyler Boyd,203.0,74.0,29,Clairton,PA,USA,Wide Receiver,tyler-boyd,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/3045144.png
4,Ben Brown,315.0,77.0,24,Vicksburg,MS,USA,Center,ben-brown,0,day-to-day,https://a.espncdn.com/i/headshots/nfl/players/full/4362890.png
4,Orlando Brown Jr.,340.0,80.0,26,Duluth,GA,USA,Offensive Tackle,orlando-brown-jr,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116370.png
4,Jake Browning,209.0,74.0,27,Folsom,CA,USA,Quarterback,jake-browning,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/3886812.png
4,Joe Burrow,215.0,76.0,26,Athens,OH,USA,Quarterback,joe-burrow,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3915511.png
4,Alex Cappa,310.0,78.0,28,Dublin,CA,USA,Guard,alex-cappa,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3059021.png
4,Jackson Carman,330.0,77.0,23,Fairfield,OH,USA,Guard,jackson-carman,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4360320.png
4,Ja'Marr Chase,201.0,72.0,23,Harvey,LA,USA,Wide Receiver,jamarr-chase,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4362628.png
4,Devin Cochran,310.0,79.0,24,Norcross,GA,USA,Offensive Tackle,devin-cochran,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035270.png
4,La'el Collins,314.0,76.0,29,Baton Rouge,LA,USA,Offensive Tackle,lael-collins,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2577302.png
4,Chris Evans,215.0,71.0,25,Indianapolis,IN,USA,Running Back,chris-evans,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4046530.png
4,Cody Ford,329.0,75.0,26,Pineville,LA,USA,Offensive Tackle,cody-ford,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/3707061.png
4,Nate Gilliam,300.0,77.0,25,Knoxville,TN,USA,Guard,nate-gilliam,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/3919555.png
4,Tee Higgins,219.0,76.0,24,Oak Ridge,TN,USA,Wide Receiver,tee-higgins,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4239993.png
4,Trey Hill,335.0,75.0,23,Warner Robins,GA,USA,Center,trey-hill,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4361787.png
4,Tanner Hudson,239.0,77.0,28,Big Sandy,TN,USA,Tight End,tanner-hudson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3050481.png
4,Trenton Irwin,200.0,74.0,27,Valencia,CA,USA,Wide Receiver,trenton-irwin,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3931391.png
4,Ted Karras,310.0,76.0,30,Indianapolis,IN,USA,Center,ted-karras,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2576188.png
4,Kwamie Lassiter II,185.0,71.0,25,Chandler,AZ,USA,Wide Receiver,kwamie-lassiter-ii,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035912.png
4,Joe Mixon,220.0,73.0,26,Oakley,CA,USA,Running Back,joe-mixon,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3116385.png
4,Stanley Morgan,205.0,72.0,26,New Orleans,LA,USA,Wide Receiver,stanley-morgan,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3699902.png
4,Drew Sample,255.0,76.0,26,Bellevue,WA,USA,Tight End,drew-sample,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3127310.png
4,Max Scharping,327.0,78.0,26,Green Bay,WI,USA,Guard,max-scharping,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3126035.png
4,D'Ante Smith,309.0,77.0,24,Augusta,GA,USA,Offensive Tackle,dante-smith,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4038565.png
4,Irv Smith Jr.,240.0,74.0,24,New Orleans,LA,USA,Tight End,irv-smith-jr,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040980.png
4,Trent Taylor,181.0,68.0,28,Shreveport,LA,USA,Wide Receiver,trent-taylor,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3040569.png
4,Cordell Volson,313.0,79.0,24,Balfour,ND,USA,Guard,cordell-volson,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040950.png
4,Jonah Williams,312.0,76.0,25,Folsom,CA,USA,Offensive Tackle,jonah-williams,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040726.png
4,Trayveon Williams,206.0,68.0,25,Houston,TX,USA,Running Back,trayveon-williams,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035222.png
5,Jordan Akins,243.0,76.0,30,Atlanta,GA,USA,Tight End,jordan-akins,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3128452.png
5,David Bell,212.0,73.0,22,Indianapolis,IN,USA,Wide Receiver,david-bell,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4570409.png
5,Joel Bitonio,320.0,76.0,31,Long Beach,CA,USA,Guard,joel-bitonio,9,active,https://a.espncdn.com/i/headshots/nfl/players/full/16740.png
